"filename", "language", "pip requirements", "HTML", "Python", "Ini", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\display\test_print_tree_command.py", "Python", 0, 0, 138, 0, 0, 0, 25, 39, 202
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\display\test_spell_check_command.py", "Python", 0, 0, 154, 0, 0, 0, 26, 42, 222
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\conftest.py", "Python", 0, 0, 9, 0, 0, 0, 1, 2, 12
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\delete_command.py", "Python", 0, 0, 88, 0, 0, 0, 23, 26, 137
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_append_command.py", "Python", 0, 0, 110, 0, 0, 0, 22, 33, 165
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_delete_command.py", "Python", 0, 0, 97, 0, 0, 0, 26, 27, 150
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_edit_id_command.py", "Python", 0, 0, 117, 0, 0, 0, 24, 34, 175
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_edit_text_command.py", "Python", 0, 0, 121, 0, 0, 0, 31, 43, 195
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_insert_command.py", "Python", 0, 0, 84, 0, 0, 0, 14, 22, 120
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\file\test_read_command.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\io\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\io\test_save_command.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\conftest.py", "Python", 0, 0, 34, 0, 0, 0, 7, 11, 52
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\README.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 7, 42
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\deep_nested.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\edit_commands.json", "JSON", 0, 0, 0, 0, 0, 37, 0, 1, 38
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\expected_result.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\mock_spell_check.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\sample.html", "HTML", 0, 17, 0, 0, 0, 0, 0, 0, 17
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\sample_html.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\simple_tree.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\special_chars.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\spell_check.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_comprehensive.py", "Python", 0, 0, 272, 0, 0, 0, 72, 91, 435
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_edge_cases.py", "Python", 0, 0, 193, 0, 0, 0, 53, 59, 305
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_integration.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_malformed_html.py", "Python", 0, 0, 96, 0, 0, 0, 18, 27, 141
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_performance.py", "Python", 0, 0, 114, 0, 0, 0, 28, 35, 177
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_real_world_scenarios.py", "Python", 0, 0, 100, 0, 0, 0, 23, 30, 153
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\parser.py", "Python", 0, 0, 79, 0, 0, 0, 19, 23, 121
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_init_command.py", "Python", 0, 0, 71, 0, 0, 0, 28, 25, 124
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_malformed_html.py", "Python", 0, 0, 89, 0, 0, 0, 13, 21, 123
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_read_command.py", "Python", 0, 0, 126, 0, 0, 0, 14, 25, 165
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_read_input_files.py", "Python", 0, 0, 279, 0, 0, 0, 58, 69, 406
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_save_command.py", "Python", 0, 0, 103, 0, 0, 0, 23, 25, 151
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_special_characters.py", "Python", 0, 0, 94, 0, 0, 0, 17, 22, 133
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\spellcheck\test_spellcheck.py", "Python", 0, 0, 103, 0, 0, 0, 14, 32, 149
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\stress\test_performance.py", "Python", 0, 0, 114, 0, 0, 0, 28, 35, 177
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_commands.py", "Python", 0, 0, 122, 0, 0, 0, 21, 37, 180
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_dir_tree_command.py", "Python", 0, 0, 161, 0, 0, 0, 37, 55, 253
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_display_enhancements.py", "Python", 0, 0, 138, 0, 0, 0, 32, 49, 219
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_io.py", "Python", 0, 0, 192, 0, 0, 0, 39, 54, 285
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_main.py", "Python", 0, 0, 299, 0, 0, 0, 31, 42, 372
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_main_session_persistence.py", "Python", 0, 0, 50, 0, 0, 0, 9, 13, 72
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_model.py", "Python", 0, 0, 94, 0, 0, 0, 23, 26, 143
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_comprehensive.py", "Python", 0, 0, 298, 0, 0, 0, 93, 108, 499
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_integration.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_manager.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_state.py", "Python", 0, 0, 133, 0, 0, 0, 37, 46, 216
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_spellcheck.py", "Python", 0, 0, 177, 0, 0, 0, 7, 33, 217
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_system_integration.py", "Python", 0, 0, 224, 0, 0, 0, 51, 56, 331
"Total", "-", 4, 139, 6983, 18, 666, 37, 1319, 2238, 11404
