Date : 2025-03-28 23:07:18
Directory : c:\Users\xy\Documents\GitHub\OOP_lab1
Total : 119 files,  7847 codes, 1319 comments, 2238 blanks, all 11404 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_malformed_html.py           | Python           |         96 |         18 |         27 |        141 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_performance.py              | Python           |        114 |         28 |         35 |        177 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_real_world_scenarios.py     | Python           |        100 |         23 |         30 |        153 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\__init__.py                               | Python           |          0 |          2 |          1 |          3 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\parser.py                                 | Python           |         79 |         19 |         23 |        121 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_init_command.py                      | Python           |         71 |         28 |         25 |        124 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_malformed_html.py                    | Python           |         89 |         13 |         21 |        123 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_read_command.py                      | Python           |        126 |         14 |         25 |        165 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_read_input_files.py                  | Python           |        279 |         58 |         69 |        406 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_save_command.py                      | Python           |        103 |         23 |         25 |        151 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\io\test_special_characters.py                | Python           |         94 |         17 |         22 |        133 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\spellcheck\test_spellcheck.py                | Python           |        103 |         14 |         32 |        149 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\stress\test_performance.py                   | Python           |        114 |         28 |         35 |        177 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_commands.py                             | Python           |        122 |         21 |         37 |        180 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_dir_tree_command.py                     | Python           |        161 |         37 |         55 |        253 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_display_enhancements.py                 | Python           |        138 |         32 |         49 |        219 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_io.py                                   | Python           |        192 |         39 |         54 |        285 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_main.py                                 | Python           |        299 |         31 |         42 |        372 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_main_session_persistence.py             | Python           |         50 |          9 |         13 |         72 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_model.py                                | Python           |         94 |         23 |         26 |        143 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_comprehensive.py                | Python           |        298 |         93 |        108 |        499 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_integration.py                  | Python           |          0 |          1 |          1 |          2 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_manager.py                      | Python           |          0 |          1 |          1 |          2 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_session_state.py                        | Python           |        133 |         37 |         46 |        216 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_spellcheck.py                           | Python           |        177 |          7 |         33 |        217 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\test_system_integration.py                   | Python           |        224 |         51 |         56 |        331 |
| Total                                                                                    |                  |      7,847 |      1,319 |      2,238 |     11,404 |
+------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
